transaction_id,card_id,entry_station,exit_station,entry_time,exit_time,travel_duration_minutes,fare_amount,card_balance,passenger_type,metro_line
TXN100000000,DMRC751971,Botanical Garden,Connaught Place,2025-10-01 17:38:00,2025-10-01 18:53:00,75,60,708,Adult,Yellow Line
TXN100000001,DMRC888097,Airport,Noida Sector 62,2025-10-04 23:47:00,2025-10-05 01:05:00,78,32,408,Student,Red Line
TXN100000002,DMRC956703,Connaught Place,Chandni Chowk,2025-10-06 08:34:00,2025-10-06 09:06:00,32,37,58,Student,Yellow Line
TXN100000003,DMRC246223,Vaishali,Huda City Centre,2025-10-06 09:43:00,2025-10-06 10:15:00,32,13,486,Senior,Yellow Line
TXN100000004,DMRC857249,INA,New Delhi,2025-10-04 23:46:00,2025-10-05 01:02:00,76,20,950,Senior,Blue Line
TXN100000005,DMRC435465,Rajiv Chowk,Hauz Khas,2025-10-07 06:50:00,2025-10-07 07:19:00,29,57,921,Student,Violet Line
TXN100000006,DMRC356533,New Delhi,Connaught Place,2025-10-07 07:14:00,2025-10-07 07:56:00,42,59,586,Senior,Red Line
TXN100000007,DMRC709299,Botanical Garden,Nehru Place,2025-10-01 18:56:00,2025-10-01 19:54:00,58,53,714,Senior,Red Line
TXN100000008,DMRC178270,Hauz Khas,Kalkaji Mandir,2025-10-02 17:00:00,2025-10-02 17:54:00,54,45,781,Senior,Green Line
TXN100000009,DMRC194079,Nehru Place,Green Park,2025-10-03 16:21:00,2025-10-03 17:10:00,49,53,798,Senior,Green Line
TXN100000010,DMRC138164,Dwarka,Noida Sector 62,2025-10-03 17:53:00,2025-10-03 18:54:00,61,45,45,Student,Blue Line
TXN100000011,DMRC629007,Vaishali,Hauz Khas,2025-10-04 20:59:00,2025-10-04 21:40:00,41,51,435,Student,Yellow Line
TXN100000012,DMRC574391,INA,Connaught Place,2025-10-05 18:12:00,2025-10-05 19:12:00,60,21,405,Senior,Violet Line
TXN100000013,DMRC851877,AIIMS,Noida Sector 62,2025-10-02 09:27:00,2025-10-02 10:07:00,40,38,519,Adult,Red Line
TXN100000014,DMRC870622,Connaught Place,Kalkaji Mandir,2025-10-07 15:23:00,2025-10-07 16:22:00,59,55,174,Adult,Yellow Line
TXN100000015,DMRC911161,INA,Botanical Garden,2025-10-03 10:14:00,2025-10-03 11:26:00,72,26,207,Adult,Yellow Line
TXN100000016,DMRC960252,Rajiv Chowk,Huda City Centre,2025-10-03 06:04:00,2025-10-03 07:22:00,78,53,973,Student,Yellow Line
TXN100000017,DMRC373124,Dwarka,Hauz Khas,2025-10-04 10:13:00,2025-10-04 11:14:00,61,16,611,Adult,Violet Line
TXN100000018,DMRC560904,Airport,Chandni Chowk,2025-10-04 06:06:00,2025-10-04 06:33:00,27,36,482,Senior,Blue Line
TXN100000019,DMRC156574,Anand Vihar,Hauz Khas,2025-10-03 19:15:00,2025-10-03 20:10:00,55,12,576,Student,Yellow Line
TXN100000020,DMRC730694,INA,Noida Sector 62,2025-10-07 17:09:00,2025-10-07 18:04:00,55,18,923,Senior,Blue Line
TXN100000021,DMRC640823,Anand Vihar,Vaishali,2025-10-07 08:12:00,2025-10-07 09:19:00,67,45,113,Student,Violet Line
TXN100000022,DMRC122367,Huda City Centre,Airport,2025-10-03 14:00:00,2025-10-03 15:11:00,71,25,820,Adult,Yellow Line
TXN100000023,DMRC644905,Botanical Garden,New Delhi,2025-10-05 07:45:00,2025-10-05 09:03:00,78,28,667,Student,Red Line
TXN100000024,DMRC605653,INA,Anand Vihar,2025-10-05 06:34:00,2025-10-05 07:32:00,58,37,67,Senior,Blue Line
TXN100000025,DMRC331969,Nehru Place,Botanical Garden,2025-10-05 18:58:00,2025-10-05 19:30:00,32,51,458,Adult,Blue Line
TXN100000026,DMRC419845,New Delhi,Botanical Garden,2025-10-03 18:34:00,2025-10-03 19:37:00,63,37,970,Senior,Violet Line
TXN100000027,DMRC925918,Kalkaji Mandir,Kashmere Gate,2025-10-04 06:05:00,2025-10-04 06:26:00,21,14,255,Student,Violet Line
TXN100000028,DMRC686757,Anand Vihar,Hauz Khas,2025-10-05 13:04:00,2025-10-05 14:22:00,78,13,178,Senior,Green Line
TXN100000029,DMRC671532,Nehru Place,Airport,2025-10-01 22:46:00,2025-10-01 23:34:00,48,18,651,Senior,Green Line
TXN100000030,DMRC404797,Dwarka,Kashmere Gate,2025-10-01 06:44:00,2025-10-01 07:37:00,53,57,272,Adult,Red Line
TXN100000031,DMRC593417,INA,Chandni Chowk,2025-10-03 13:13:00,2025-10-03 14:30:00,77,20,552,Student,Green Line
TXN100000032,DMRC183518,Rajiv Chowk,Botanical Garden,2025-10-03 10:24:00,2025-10-03 10:34:00,10,19,840,Adult,Green Line
TXN100000033,DMRC919939,Rajiv Chowk,Kashmere Gate,2025-10-01 19:55:00,2025-10-01 20:35:00,40,39,73,Adult,Green Line
TXN100000034,DMRC976709,Hauz Khas,INA,2025-10-05 20:00:00,2025-10-05 21:12:00,72,35,780,Senior,Yellow Line
TXN100000035,DMRC175278,AIIMS,Nehru Place,2025-10-01 16:36:00,2025-10-01 17:43:00,67,27,366,Student,Yellow Line
TXN100000036,DMRC198415,Noida Sector 62,Green Park,2025-10-03 13:57:00,2025-10-03 14:50:00,53,57,338,Senior,Yellow Line
TXN100000037,DMRC408436,Vaishali,Connaught Place,2025-10-07 15:11:00,2025-10-07 15:25:00,14,31,23,Student,Yellow Line
TXN100000038,DMRC473522,Kashmere Gate,Chandni Chowk,2025-10-05 01:12:00,2025-10-05 02:22:00,70,30,942,Student,Red Line
